Place,X-coord,Y-coord,Rooms,CommonR,Sauna,m^2,Age,Price
Lokkalantie 14,60.1992607,24.8797262,"1 h, kt, alkovi, kh, ranskalai",1,0,"36,5 m²",1967,935 €/kk 
Kalteentie 3 G,60.2653055,25.0849429,2h+k+lp,2,0,62 m²,1972,925 €/kk 
Gadolininkatu 1 A,60.2063715,24.9642952,3h+k,3,0,"72,5 m²",2018,1 459 €/kk 
Hela-aukio 4,60.2550611,25.0189062,2H+KK,2,0,"48,5 m²",2010,949 €/kk 
Tanhuantie 1,60.23677379999999,25.0953764,2H+KK,2,0,38 m²,1964,848 €/kk 
Merimiehenkatu 16 B,60.1606388,24.939523,"2h, avok., kph, vh; kalustettu",2,0,43 m²,1961,1 250 €/kk 
Riihipellonkuja 1 B,60.2377961,24.8453701,2h+baarik+kph+lp,2,0,"43,5 m²",1962,730 €/kk 
Arhotie 22 B,60.21779850000001,25.086443,2h+k,2,0,"58,6 m²",1964,969 €/kk 
Vuotie 49a A,60.2072362,25.1496668,3h+kt,3,0,"61,5 m²",2023,1 375 €/kk 
Hermannin rantatie 3A,60.1867956,24.9775423,1h+kt,1,0,"28,5 m²",2023,967 €/kk 
Pitäjänmäentie 15,60.22405939999999,24.8609356,"2h,k,kph,vh",2,0,56 m²,1957,950 €/kk 
Agronominkatu 1,60.23425039999999,25.0338372,2H+KT,2,0,"52,5 m²",2012,"1016,02 €/kk "
Amiraalinkatu 2 B,60.1660869,24.9739524,4h+kt,4,0,84 m²,2020,2 099 €/kk 
Somerontie 14,60.1973479,24.9588517,2H+K,2,0,46 m²,1918,1 080 €/kk 
HENRIKINTIE 5 D,60.22620610000001,24.8512926,2H+K,2,0,60 m²,1978,1 035 €/kk 
Neitsytpolku 4 A,60.1569525,24.9496224,"2h, k, kph.",2,0,"48,25 m²",1908,1 290 €/kk 
Hermannin rantatie 3A,60.1867956,24.9775423,2h+kt,2,0,"37,5 m²",2023,1 197 €/kk 
Hermannin rantatie 3A,60.1867956,24.9775423,3-4h+kt,3,0,65 m²,2023,2 160 €/kk 
Kuminakuja 3 F 43,60.1830398,25.0547408,2h+k+parveke,2,0,52 m²,1975,910 €/kk 
Ryytimaantie 13 A,60.21678069999999,24.9011066,1h + kk,1,0,24 m²,1960,680 €/kk 
Jätkäsaarenkuja 16 G,60.1583743,24.9165935,2h+kk+lasit.parv.,2,0,43 m²,2016,1 099 €/kk 
Selkämerenkatu 13 A,60.1603447,24.9165754,2h+kk+kph+rp+lp,2,0,50 m²,1995,1 070 €/kk 
Ullanlinnankatu 3,60.16351359999999,24.9471294,1h + k + alkovi,1,0,49 m²,1912,1 700 €/kk 
Hermannin rantatie 3A,60.1867956,24.9775423,2h+kt,2,0,38 m²,2023,1 232 €/kk 
Kalevankatu 49 C,60.16424539999999,24.9287803,1h+kk+alkovi+kph+lasitettu p,1,0,"34,5 m²",1971,860 €/kk 
KOKKOKALLIONTIE 3 F,60.2287889,24.8515372,2H+K,2,0,"54,5 m²",1974,1 005 €/kk 
Länsisatamankatu 31 A,60.156048,24.912702,2h + kt + työtila + p,2,0,64 m²,2023,1 599 €/kk 
Ansaritie 2-4 B,60.2089507,24.8859766,1h+kt,1,0,25 m²,1960,779 €/kk 
Huopalahdentie 31 A,60.20868650000001,24.8797181,3h+kt+khh+s+vh,3,1,"67,5 m²",2023,1 580 €/kk 
Capellan puistotie 3 C,60.1850585,24.982863,4h+k+s,4,1,95 m²,2013,2 290 €/kk 
Bahamankatu 4,60.1552811,24.9089688,1h+kt+var+p,1,0,33 m²,2021,945 €/kk 
Pajupillintie 28,60.24312149999999,24.8871049,2H+K,2,0,"50,5 m²",1963,800 €/kk 
Näyttelijäntie 22 G-H,60.231546,24.8925402,2H+K,2,0,51 m²,1959,1 015 €/kk 
Suvilahdenkatu 9,60.1879471,24.9677073,2h+avok+p,2,0,42 m²,1995,1 488 €/kk 
Snellmaninkatu 23 C,60.1736181,24.9534216,2h+kk,2,0,52 m²,1896,1 453 €/kk 
Kultakruununkaari 2,60.16939999999999,25.015902,"3h, avok, las. parveke",3,0,"61,5 m²",2023,1 290 €/kk 
Työpajankatu 17,60.18752689999999,24.9807141,2H+KT,2,0,52 m²,2022,1 699 €/kk 
Maaherrantie 34 B,60.2309053,24.9729067,1h+kk+kph+parv.,1,0,32 m²,2023,820 €/kk 
Valhallankatu 4.A.6,60.1836944,24.9128267,1h+kk,1,0,27 m²,1940,1 235 €/kk 
Pohjoisranta 24 C,60.17586170000001,24.9600766,2h+k,2,0,55 m²,1961,1 155 €/kk 
Käsityöläisentie 4-10,60.2731769,25.0334204,3H+K,3,0,76 m²,1974,1 240 €/kk 
Haarniskatie 11,60.217022,25.1032498,"2h+keittiö, sauna, iso parveke",2,1,"54,5 m²",1986,990 €/kk 
Ruusulankatu 4 B,60.1815765,24.9249213,1h+avok+kph+ransk.parv.,1,0,"27,5 m²",1954,845 €/kk 
Vaasankatu 17,60.1884618,24.9568234,3H+K,3,0,"74,5 m²",1989,1 350 €/kk 
Matruusinkatu 2 B,60.16643870000001,24.9754224,2h+kk,2,0,"51,5 m²",1980,1 199 €/kk 
