Place,X-coord,Y-coord,Rooms,CommonR,Sauna,m^2,Age,Price
Vuotie 49a A,60.2072362,25.1496668,2h+kt,2,0,42 m²,2023,1 045 €/kk 
Nallitie 8 D,60.23459330000001,25.0601784,"2h,k,s",2,1,"59,5 m²",2001,1 200 €/kk 
Neulapadontie 5 C,60.2220947,25.0627495,2h+k,2,0,"57,4 m²",1965,899 €/kk 
Museokatu 37,60.17532859999999,24.9188318,2h+avokeittiö+vaatehuone,2,0,43 m²,1928,1 290 €/kk 
Meripuistotie 7 A,60.1605417,24.8893634,2k+k+kph+lasit.parv.,2,0,"55,5 m²",1978,1 195 €/kk 
Arabiankatu 3 B,60.2066665,24.975537,3h+k+s,3,1,"73,5 m²",2001,1 589 €/kk 
Kauppakartanonkatu 7,60.2083714,25.0830885,"2h, avokeittiö, kh, vh, parvek",2,0,81 m²,2015,1 795 €/kk 
Pohjoisranta 24 A,60.17586170000001,24.9600766,4h+k,4,0,"95,5 m²",1961,1 994 €/kk 
Pajamäentie 7 B,60.2194292,24.8560789,3h+k,3,0,63 m²,1960,1 125 €/kk 
Porvoonkatu 19,60.19092939999999,24.9460904,1h + kk + vh,1,0,"29,5 m²",1962,825 €/kk 
Agronominraitti 2,60.2339578,25.0354171,2H+K+S,2,1,"58,5 m²",2005,1 066 €/kk 
Suvikuja 2 E,60.2543416,24.9948925,"2h,k,kph,s,piha",2,1,52 m²,1981,850 €/kk 
Hermannin rantatie 3A,60.1867956,24.9775423,1h+kt,1,0,35 m²,2023,1 059 €/kk 
Haapaniemenkatu 11,60.17904109999999,24.959629,1H+KK,1,0,32 m²,1979,928 €/kk 
Paasikivenkatu 4-6,60.18710249999999,24.9119121,"1h, k, kph",1,0,33 m²,1931,1 768 €/kk 
Tapulikaupungintie  13,60.27708680000001,25.0351375,6H+K+S,6,1,"114,5 m²",2000,1 835 €/kk 
Puistokatu 9 c 25,60.1569379,24.9514508,4h + k + kph + 2*wc +eteinen,4,0,124 m²,1914,2 990 €/kk 
Ulvilantie 11b D 102,60.20489929999999,24.8727376,"1h,kk,kh,las.parv.",1,0,"28,5 m²",1959,790 €/kk 
Risto Rytin tie 24,60.1867236,25.0148357,2h + k + las.parveke,2,0,"46,5 m²",1961,1 000 €/kk 
Ida Aalbergin tie 1b A,60.2305413,24.9001028,2h+kt,2,0,43 m²,2020,915 €/kk 
Ristiretkeläistenkatu 2 A,60.2288277,24.9901529,1h+kt,1,0,"29,5 m²",2021,870 €/kk 
Sopulirinne 2,60.21532219999999,25.0434943,4H+K+S,4,1,"87,5 m²",2003,1 533 €/kk 
Tilanhoitajankaari 12,60.2304105,25.0311925,2h + k,2,0,"50,5 m²",2004,990 €/kk 
Kastelholmantie 4 C,60.2138776,25.0790945,1h+kk+kph+alkovi+p,1,0,"23,5 m²",1963,580 €/kk 
Pertunpellonraitti 3,60.2659819,24.9900734,2H+K+S,2,1,"59,5 m²",1996,1 179 €/kk 
Haagan Pappilantie 13,60.2191256,24.8970193,1h + kk+ kh,1,0,26 m²,1957,730 €/kk 
Taubenkuja 4,60.1691459,25.0349459,2H+KT,2,0,"45,5 m²",2019,1 060 €/kk 
Virvatulentie 2,60.20662789999999,25.0750069,2H+KT+S,2,1,40 m²,1998,959 €/kk 
Pakettikatu 3,60.2177319,24.923074,2h+avok+kph+lasitettu parveke,2,0,44 m²,2021,1 045 €/kk 
Työnjohtajankatu 11,60.19672420000001,25.0354811,1h + avok,1,0,18 m²,2023,830 €/kk 
Eerikinkatu 22,60.16623209999999,24.9328236,3h+k+kph+vh+parv,3,0,"73,5 m²",1964,1 650 €/kk 
Kustinpolku 17 A,60.218499,24.924674,1h+kt,1,0,"28,5 m²",2023,851 €/kk 
Damaskuksentie 2 A,60.2099911,24.9751756,3h+k+kph+lasit.p,3,0,59 m²,1966,1 355 €/kk 
Limnologinraitti 4 B,60.2328024,25.0377638,3h+k+s,3,1,66 m²,2015,1 298 €/kk 
Malagankatu 7 A,60.1568086,24.9144317,3h+kt,3,0,76 m²,2016,1 649 €/kk 
Lapinmäentie 8,60.20797200000001,24.8820419,1H+KT,1,0,"30,5 m²",2023,885 €/kk 
Kaivonkatsojantie 16 A,60.20356,25.1368972,2h+k+kph+p,2,0,"62,5 m²",1996,975 €/kk 
SUUNNITTELIJANKATU 4 B,60.1952799,25.034364,1 H + KT,1,0,"34,5 m²",2020,948 €/kk 
Poutamäentie 7,60.2177344,24.8551291,2H+K,2,0,49 m²,1958,915 €/kk 
Laivalahdenkaari 1 D,60.19113160000001,25.0333056,1h+kt,1,0,31 m²,2019,799 €/kk 
Laivalahdenkaari 1 E,60.19095449999999,25.0338454,1h+kt,1,0,44 m²,2019,849 €/kk 
Ida Aalbergin tie 1a A,60.2309655,24.8999958,1h,1,0,"17,84 m²",1970,315 €/kk 
Tapulikaupungintie 11 A 19,60.2766898,25.0351389,2h+k+s+lasitettu parv,2,1,"61,5 m²",2000,1 060 €/kk 
Norkkokuja 3,60.22708739999999,25.0276948,3H+K,3,0,"71,5 m²",2001,"1169,33 €/kk "
Jokiniementie 48 A,60.229198,24.971718,2h+kt,2,0,"41,5 m²",2023,935 €/kk 
Kurkimäentie 1 D,60.22848759999999,25.0722466,3h+k,3,0,"74,5 m²",1984,1 069 €/kk 
Kaivonkatsojantie 16 A,60.20356,25.1368972,2h+k+kph+p,2,0,58 m²,1996,905 €/kk 
Leikosaarentie 5 B,60.2022437,25.1361032,2h+k,2,0,60 m²,1993,849 €/kk 
Hellemäenpolku 10,60.21139849999999,24.886279,2H+K+S,2,1,"57,5 m²",1996,1 010 €/kk 
Tulvaniitynpolku 3,60.2316764,24.981916,2H+KK+S,2,1,"49,5 m²",1997,920 €/kk 
Kurkimäentie 1 A,60.22848759999999,25.0722466,2h+k,2,0,60 m²,1984,899 €/kk 
Mechelininkatu 18,60.1729662,24.9192703,2H+K,2,0,"52,5 m²",1936,1 246 €/kk 
Maasälväntie 5-9,60.2371431,25.0116904,4H+K,4,0,67 m²,1963,1 198 €/kk 
Wallininkatu 7 C,60.1845424,24.9430803,1 h+kk+kph+et,1,0,"21,5 m²",1939,680 €/kk 
Pomeranssikuja 4D 34,60.2065253,25.152881,2h+k,2,0,53 m²,2007,1 095 €/kk 
Bertha Pauligin katu 6 A,60.2056422,25.1474209,3h+kt,3,0,54 m²,2018,1 195 €/kk 
TUHKIMONTIE 3-5 B,60.1967192,25.0515087,3H+K,3,0,"68,5 m²",1960,1 228 €/kk 
Hellemäenpolku 10,60.21139849999999,24.886279,3H+K+S,3,1,"77,5 m²",1996,1 350 €/kk 
Kustinpolku 17 B,60.218499,24.924674,2h+kt,2,0,46 m²,2023,1 100 €/kk 
Pertunpellonraitti 3,60.2659819,24.9900734,2H+KK+S,2,1,"49,5 m²",1996,1 069 €/kk 
Minervankatu 4,60.1756635,24.9244238,1H+KT,1,0,35 m²,1947,1 067 €/kk 
Märssykuja 1,60.2051443,25.1175504,3H+K,3,0,74 m²,1991,"1091,42 €/kk "
Tapulikaupungintie  13,60.27708680000001,25.0351375,2H+KK+S,2,1,"43,5 m²",2000,870 €/kk 
Klaavuntie 8-10 E,60.20927969999999,25.0971015,4h+k,4,0,86 m²,1961,1 299 €/kk 
Helsinginkatu 17 B,60.1872678,24.9540268,"2h, kk, kph",2,0,48 m²,1926,880 €/kk 
Konalantie 14,60.22722,24.851071,2H+K,2,0,59 m²,1984,899 €/kk 
Vuotie 49b A,60.2072849,25.1505648,2h+kt,2,0,"43,5 m²",2022,1 075 €/kk 
Tapulikaupungintie  13,60.27708680000001,25.0351375,2H+K+S,2,1,"61,5 m²",2000,1 035 €/kk 
Nukkeruusunkuja 4 A 26,60.2031491,25.148142,3 h + k + s + p,3,1,"77,5 m²",2003,1 470 €/kk 
Vanhaväylä 18 As. 1,60.19121449999999,25.0510835,4h + k + vh + piha,4,0,85 m²,1962,1 790 €/kk 
Yliskyläntie 2 B,60.1809921,25.0510924,3 h+k+s+1h+kt,3,1,"97,5 m²",1996,1 449 €/kk 
Porttikuja 1 A,60.2315288,25.0845576,3h+k+wc+kph+vh+lasit.p,3,0,70 m²,1965,940 €/kk 
Kerttulinkuja 3 C,60.1896187,25.0392175,2H+KK+P,2,0,"48,5 m²",1997,1 036 €/kk 
Madetojankuja 1,60.2433113,24.9918836,3H+KT,3,0,"48,5 m²",2023,1 088 €/kk 
HENRIKINTIE 5 E,60.22587910000001,24.8516095,2H+K,2,0,"60,5 m²",1978,1 039 €/kk 
Leonkatu 22 D,60.18489659999999,24.9830415,2h+kk,2,0,"36,5 m²",2013,1 026 €/kk 
Karjalankatu 5 A,60.19260149999999,24.937448,1h+k,1,0,36 m²,1955,900 €/kk 
Kontulankaari 2 D,60.23687899999999,25.0792176,2h+k+kph+lasit.p,2,0,58 m²,1970,885 €/kk 
Huopalahdentie 31 A,60.20868650000001,24.8797181,1h+kt,1,0,33 m²,2023,910 €/kk 
Livornonkatu 3,60.15804199999999,24.9147732,1H+KT,1,0,"29,5 m²",2017,940 €/kk 
Von Daehnin katu 11,60.2311509,25.0444668,2H+KK,2,0,"45,5 m²",2008,"928,49 €/kk "
Laivalahden puistotie 1 B,60.19079259999999,25.0338083,2h+kt,2,0,"40,5 m²",2019,949 €/kk 
Rekipellontie 14 D,60.2385304,25.0913602,3h+k+kph+lasit.p,3,0,75 m²,1991,949 €/kk 
Kauniinilmankuja 3 A,60.2079302,25.1588696,2h+kt+s,2,1,54 m²,2011,999 €/kk 
Kristianinkatu 2 B,60.1756404,24.9592481,"1h, avok, alkovi, kph",1,0,"25,5 m²",1929,850 €/kk 
Helsinginkuja 6,60.18765399999999,24.9535702,3h+kt+parveke,3,0,56 m²,2023,1 425 €/kk 
HUOPALAHDENTIE 27 A,60.2073662,24.8801459,2 H + KT,2,0,45 m²,2020,1 190 €/kk 
Pakettikatu 3 B,60.2177319,24.923074,2h+k+s +p,2,1,46 m²,2021,1 150 €/kk 
Hermannin rantatie 3A,60.1867956,24.9775423,1h+kt,1,0,"35,5 m²",2023,1 045 €/kk 
Kahvipavunkuja 4,60.2054126,25.1488998,3H+KT,3,0,64 m²,2017,1 298 €/kk 
Paahtajankuja 1 A,60.20616099999999,25.1493181,2h+kt,2,0,"54,5 m²",2016,1 038 €/kk 
Muinaislinnantie,60.2198276,25.1174202,"2h, keittiö, parveke, wc, lämmin varasto",2,0,59 m²,1984,995 €/kk 
Harjukatu,60.1885382,24.9582327,2h + k + s,2,1,"53,5 m²",1956,1 250 €/kk 
Karavaanikuja 2,60.20646420000001,25.1195754,2H+KT,2,0,43 m²,2017,925 €/kk 
Helatehtaankatu 3,60.25453700000001,25.0196201,2H+KK+S,2,1,55 m²,2013,1 068 €/kk 
Abraham Wetterin tie 10 C 40,60.1927794,25.0435871,2h+kt+lasitettu parv,2,0,"57,5 m²",2013,1 175 €/kk 
Piispantie 2,60.2290797,24.8476205,2H+KK+S,2,1,45 m²,1997,930 €/kk 
Koirasaarentie 23,60.17203790000001,25.0317623,1H+KT,1,0,32 m²,2016,835 €/kk 
Kustinpolku 17 B,60.218499,24.924674,1h+kt,1,0,28 m²,2023,820 €/kk 
Uudenmaankatu 9 - 11 B,60.1648185,24.9414798,"1h, avok., kph",1,0,22 m²,1927,750 €/kk 
Vuotie 49b A,60.2072849,25.1505648,3h+kt,3,0,58 m²,2022,1 225 €/kk 
Huopalahdentie 31 A,60.20868650000001,24.8797181,1h+kt,1,0,"28,5 m²",2023,915 €/kk 
Gustav Pauligin katu 5a B,60.206121,25.150977,3h+kt,3,0,"64,5 m²",2022,1 320 €/kk 
Piispantie 5 J,60.2296497,24.8420003,2h+kt,2,0,50 m²,1964,888 €/kk 
Kasperinkuja 14,60.1702664,25.0420142,"3h, k, kph, vh, lasitettu parve..., kerrostalo, 465 €/kk, 14 m²",3,0,"67,5 m²",1976,465 €/kk 
Ristipellontie 6,60.23875799999999,24.851662,2H+KT,2,0,"53,5 m²",2011,968 €/kk 
Bertha Pauligin katu 3 A,60.20661619999999,25.1503227,2h+kt,2,0,"41,5 m²",2023,1 010 €/kk 
Piritanaukio 2 C,60.15607180000001,24.9323956,2h+k+s,2,1,"78,5 m²",2008,2 199 €/kk 
Tuulimyllyntie 9 C,60.22470689999999,25.0672261,2h + kk,2,0,"48,5 m²",1966,780 €/kk 
Kanavakatu 3,60.1661508,24.9648117,2h + avok,2,0,39 m²,1929,1 420 €/kk 
Lepolantie 14 D,60.2404941,24.9425449,2h+kk,2,0,"51,5 m²",1960,1 030 €/kk 
Taimistontie 4a,60.21758430000001,24.8667093,3H+K+S,3,1,"67,5 m²",1999,1 220 €/kk 
Vuotie 47 C,60.207069,25.148776,1H+KT+ALK+VIH,1,0,39 m²,2023,929 €/kk 
Leikosaarentie 12 D,60.2029747,25.1379172,3h+k+s,3,1,"77,5 m²",1995,1 149 €/kk 
Pihkatie 5 G,60.2518328,24.8552382,3h+k,3,0,"67,5 m²",1983,1 089 €/kk 
Hellemäenpolku 10,60.21139849999999,24.886279,2H+K+S,2,1,"57,5 m²",1996,1 005 €/kk 
Ida Aalbergin tie 3a As,60.2304999,24.8990185,4h+k,4,0,75 m²,1958,1 225 €/kk 
Retkeilijänkatu 15 A,60.20519539999999,25.1263504,2H+KT+P,2,0,44 m²,2020,941 €/kk 
Annankatu 8,60.1638205,24.9409578,1h + k + kph + vh,1,0,35 m²,1962,890 €/kk 
Arabiankatu 6 D,60.2081202,24.9780062,2h+kk,2,0,"46,5 m²",2014,1 161 €/kk 
Malagankatu 2 C,60.1579904,24.9126423,2h + avok,2,0,39 m²,2019,1 500 €/kk 
Taiteentekijäntie 7,60.2076769,24.8578689,2H+KK,2,0,"45,5 m²",1992,"928,75 €/kk "
Karistimentie 1 C,60.2272968,25.0691333,3h+k+kph+vh+lp,3,0,72 m²,1964,1 050 €/kk 
Tuulimyllyntie 3,60.2264921,25.0656884,3h+k+parv,3,0,"73,5 m²",1965,1 180 €/kk 
Lintulahdenaukio 6,60.18458109999999,24.962071,2H+KT+S,2,1,"40,5 m²",1999,1 040 €/kk 
Mannerheimintie 93 A,60.19521750000001,24.9038673,1h+kk+sh+parveke,1,1,23 m²,1953,700 €/kk 
Ketokivenkaari 6,60.2310647,25.0176588,2H+K,2,0,"53,5 m²",1984,969 €/kk 
Kerttulinkuja 3 B,60.1896187,25.0392175,2H+KK+P,2,0,"46,5 m²",1997,1 015 €/kk 
Harjukatu 4 A,60.18793590000001,24.9577813,1h+kk+kph,1,0,"21,2 m²",1940,650 €/kk 
Bertha Pauligin katu 3 A,60.20661619999999,25.1503227,3h+kt+s,3,1,"62,5 m²",2023,1 370 €/kk 
Josafatinkatu 15,60.1872171,24.9442387,2H+K,2,0,"55,5 m²",1942,1 149 €/kk 
Porvoonkatu 14 B,60.1906161,24.9451411,1 h+avokk+kph,1,0,29 m²,1931,800 €/kk 
Wavulinintie 1,60.15412229999999,24.8789073,"1h, ak, kph, wc",1,0,20 m²,1954,1 606 €/kk 
Tenderinlenkki 8,60.19978219999999,24.9288668,1H+KT,1,0,28 m²,2021,959 €/kk 
Kivipadontie 6h B,60.233337,24.948913,1h+kt,1,0,31 m²,2023,805 €/kk 
Huopalahdentie 31 A,60.20868650000001,24.8797181,1h+kt,1,0,"30,5 m²",2023,880 €/kk 
Laivanvarustajankatu 5 A,60.15649260000001,24.9475229,3h+k+kph,3,0,77 m²,1926,1 498 €/kk 
KONALANTIE 7 D,60.2281704,24.8517362,2h+kt,2,0,"38,5 m²",1974,865 €/kk 
Fastbölentie 16,60.279419,25.0424031,"2h, k, kph",2,0,"27,5 m²",2019,2 043 €/kk 
Kauppakartanonkatu 14,60.2083623,25.0849751,1H+KK,1,0,"27,5 m²",1977,785 €/kk 
Hitsaajankatu 9 C,60.19227919999999,25.029792,2h+kt,2,0,"41,5 m²",2019,983 €/kk 
Ristipellontie 6,60.23875799999999,24.851662,1H+KT,1,0,35 m²,2011,825 €/kk 
Kellosilta 8b,60.20054099999999,24.937085,1H+KT,1,0,"29,5 m²",2023,895 €/kk 
Kämnerintie 3,60.27732599999999,25.0252609,3H+K,3,0,81 m²,1978,1 020 €/kk 
Gunillantie 15,60.16885600000001,25.033654,2h+KT,2,0,43 m²,2016,866 €/kk 
Vuotie 47 C,60.207069,25.148776,1H+KT+ALK+VIH,1,0,36 m²,2023,819 €/kk 
Jauhajankuja 2 D,60.2052923,25.1500301,1h+kt+p,1,0,"33,5 m²",2012,827 €/kk 
Suvilahdenkatu 6 A 16,60.18734440000001,24.9677822,3h+k+s+lasitettu parv,3,1,"76,5 m²",1999,1 620 €/kk 
Hellekuja 1 C,60.20698789999999,25.158629,2h+k+s,2,1,"56,5 m²",2012,1 099 €/kk 
Kuminakuja 2 A,60.1838588,25.0557205,1h+kk+lasitettu parveke,1,0,33 m²,1973,750 €/kk 
Kruunuvuorenkatu 4 A,60.1665019,24.9652824,1h+kt+alk,1,0,33 m²,1907,1 110 €/kk 
Messeniuksenkatu 10,60.188005,24.9136478,2H+K+ET+KPH,2,0,64 m²,1937,2 000 €/kk 
Jääkärinkatu 11 A,60.16017900000001,24.9438817,2h+kk,2,0,47 m²,1928,1 180 €/kk 
Mannerheimintie 170,60.2035984,24.8985839,"1h, ak, kph, wc",1,0,25 m²,2018,1 821 €/kk 
Isonvillasaarentie 7 Q,60.22190630000001,25.1440455,2h + k + lasitettu parveke,2,0,55 m²,1965,835 €/kk 
Bertha Pauligin katu 3 A,60.20661619999999,25.1503227,2h+kt,2,0,"41,5 m²",2023,1 015 €/kk 
Lintulahdenaukio 8 A,60.18484089999999,24.9621639,3h+k+s,3,1,"64,5 m²",2000,1 492 €/kk 
Huopalahdentie 31 A,60.20868650000001,24.8797181,3h+kt+s,3,1,72 m²,2023,1 630 €/kk 
Bertha Pauligin katu 3 A,60.20661619999999,25.1503227,3h+kt+s,3,1,"62,5 m²",2023,1 410 €/kk 
Castreninlatu 10,60.184237,24.9451088,1h+kk,1,0,30 m²,1959,775 €/kk 
Ristiretkeläistenkatu 11 F,60.226577,24.98676,1H+KT,1,0,36 m²,2020,850 €/kk 
Mustalahdentie 1,60.2218237,25.1410173,1H+KT,1,0,"29,5 m²",2016,799 €/kk 
Vuotie 49a A,60.2072362,25.1496668,2h+kt,2,0,39 m²,2023,985 €/kk 
Kotikonnuntie 10 C,60.240602,25.0838562,3h+k+kph+vh+p. (yhtiöjärjestyk,3,0,67 m²,1971,925 €/kk 
Lönnrotinkatu 30,60.16402830000001,24.9320648,2H+KK,2,0,31 m²,1938,965 €/kk 
Mechelininkatu 3a C,60.1684125,24.9216295,2h+kt+s,2,1,64 m²,2016,1 599 €/kk 
Marunakuja 6,60.18231619999999,25.0585684,3h+k+kph+s+lasitettu parveke,3,1,"68,5 m²",1973,1 295 €/kk 
Helatehtaankatu 3,60.25453700000001,25.0196201,1H+KT,1,0,"31,5 m²",2013,840 €/kk 
Näyttelijäntie 22 A-B,60.231546,24.8925402,2H+K,2,0,50 m²,1959,1 009 €/kk 
Seltterikuja 5 A,60.23774280000001,24.848155,3h+avok+s,3,1,69 m²,2012,1 190 €/kk 
Juorumäenkuja 5 A,60.20903939999999,25.1040461,2h+kk,2,0,"43,5 m²",2003,889 €/kk 
Välitalontie 71,60.2458795,24.9257559,"1h + kt + parveke 9,0 m2",1,0,"24,5 m²",2023,790 €/kk 
Meri-Rastilan tie 40 E,60.20212180000001,25.1299309,2h+k,2,0,"53,5 m²",1991,879 €/kk 
Tyynenmerenkatu 3 B 45,60.1590551,24.9208259,3h+k+s+lasitettu parv,3,1,"69,5 m²",2014,1 690 €/kk 
Vetelintie 5 F,60.2374394,24.8843795,1h+kk,1,0,"32,5 m²",1976,725 €/kk 
Bertha Pauligin katu 2b A,60.20652390000001,25.1506145,3h+kt+s,3,1,68 m²,2023,1 430 €/kk 
Varustuksentie 1 C,60.23934589999999,25.0672318,3h+k+kph+s+p,3,1,83 m²,1994,1 120 €/kk 
Leikosaarentie 27,60.2045477,25.1520085,"2h, avok, kph, parveke",2,0,42 m²,2003,895 €/kk 
Laivanvarustajankatu 1 F,60.1567498,24.9495578,"1 h, avok, kph, et.",1,0,"25,75 m²",1908,990 €/kk 
HENRIKINTIE 7 D,60.2262548,24.8489454,2H+KK,2,0,41 m²,1991,845 €/kk 
Kutomotie 12a A,60.21418550000001,24.8720578,2h+kk+s,2,1,"48,5 m²",2013,1 025 €/kk 
Näyttelijäntie 24 E,60.2315822,24.8923989,3h+kt,3,0,63 m²,1959,1 249 €/kk 
Kustinpolku 17 B,60.218499,24.924674,2h+kt,2,0,46 m²,2023,1 080 €/kk 
Riimusauvantie 27a2,60.27606199999999,24.990651,"4h, kt, sauna, kh, 2x erill.wc, khh",4,1,93 m²,2023,1 790 €/kk 
Sorvaajankatu 1 A 9,60.1931757,25.0431227,3h+k+s+lasitettu parv,3,1,76 m²,2013,1 475 €/kk 
Vanha talvitie 7 A,60.1901836,24.9756293,4h+k+kph+wc+s+lasitettu parvek,4,1,"80,5 m²",2023,1 650 €/kk 
Marjaniementie 66,60.2061034,25.0751124,2H+K+S,2,1,54 m²,1998,1 020 €/kk 
Laivalahdenkaari 8 B,60.1908879,25.0356178,2h+kk,2,0,"46,5 m²",1996,1 024 €/kk 
Plazankuja 5,60.19118459999999,24.9677741,2H+KT,2,0,45 m²,2013,1 120 €/kk 
Lapinmäentie 8,60.20797200000001,24.8820419,2H+KT+S,2,1,"44,5 m²",2023,1 100 €/kk 
Pajamäentie 14 D,60.2182132,24.8548788,4-5h+k+kph+vh+las.p,4,0,95 m²,1958,1 340 €/kk 
Kallvikintie 57 A,60.2075808,25.135871,2h+kk+s,2,1,61 m²,2000,890 €/kk 
Gunillantie 22 B,60.1698555,25.0323981,3h+kt+s,3,1,"68,5 m²",2015,1 290 €/kk 
Niittaajankatu 5 B,60.1912001,25.0283711,3h+k+s,3,1,"74,5 m²",2001,1 389 €/kk 
Tyynenmerenkatu 3 C 67,60.1590551,24.9208259,1h+k+alkovi+lasitettu parv,1,0,39 m²,2014,1 095 €/kk 
Huopalahdentie 31 A,60.20868650000001,24.8797181,3h+kt+khh+s+vh,3,1,"67,5 m²",2023,1 575 €/kk 
Kuoppatie 6 C,60.2622162,25.0212517,4h+k+s+parvi,4,1,125 m²,2009,1 827 €/kk 
Hermannin rantatie 3A,60.1867956,24.9775423,1h+kt,1,0,"27,5 m²",2023,931 €/kk 
Hatuntekijänkuja 3-5 B,60.2777639,25.0331613,4h+k,4,0,85 m²,1975,1 199 €/kk 
Rosalankuja 2 A,60.1736324,25.0328764,1h+kt,1,0,"33,5 m²",2016,812 €/kk 
Juutinraumankatu 10,60.1588411,24.9184603,1H+KK,1,0,"46,5 m²",2014,"913,31 €/kk "
Kivensilmänkuja 3,60.22366040000001,25.0739473,3H+KK+S,3,1,75 m²,2011,1 350 €/kk 
Retkeilijänkatu 3 A,60.2057558,25.1211271,1h+avok,1,0,31 m²,2015,768 €/kk 
Ansaritie 2-4 B,60.2089507,24.8859766,1h+kt,1,0,25 m²,1960,779 €/kk 
Hermannin rantatie 3A,60.1867956,24.9775423,2h+kt,2,0,"37,5 m²",2023,1 247 €/kk 
Ida Aalbergin tie 1a A,60.2309655,24.8999958,1h,1,0,"17,84 m²",1970,315 €/kk 
Savilankatu 3 ,60.1872387,24.9199519,1 H jaettu keittiö ja kylpyhuone 140 neliön asunnossa,1,0,40 m²,1927,700 €/kk 
Huopalahdentie 31 A,60.20868650000001,24.8797181,1h+kt,1,0,"28,5 m²",2023,915 €/kk 
Retkeilijänkatu 15 A,60.20519539999999,25.1263504,1H+KT+P,1,0,"31,5 m²",2020,843 €/kk 
Temperankatu 2 B,60.2618023,24.8914321,1h+tupak.,1,0,"33,5 m²",2019,774 €/kk 
Vedenottamontie 8,60.20403989999999,25.1391638,3H+K+S,3,1,"76,5 m²",1995,1 199 €/kk 
Pilvenpyörteentie 21,60.24868799999999,25.0302465,2h + ak + terassiparveke,2,0,42 m²,2020,"873,40 €/kk "
Risupadontie 4,60.233271,24.947131,3h + k + kph + wc,3,0,"76,5 m²",1972,1 000 €/kk 
Hermannin rantatie 3A,60.1867956,24.9775423,1h+kt,1,0,"28,5 m²",2023,987 €/kk 
Vanhaistentie 1 c B,60.2412031,24.8860531,1h+kt,1,0,"23,5 m²",2022,742 €/kk 
Ounasvaarantie 1 A,60.23743669999999,25.1165717,2h+k+kph+vh+lasitettu parveke,2,0,"51,5 m²",1974,788 €/kk 
Näyttelijäntie 24 D,60.2315822,24.8923989,3h+kt,3,0,63 m²,1959,1 239 €/kk 
Hermannin rantatie 3A,60.1867956,24.9775423,1h+kt,1,0,"27,5 m²",2023,955 €/kk 
HENRIKINTIE 5 F,60.2256811,24.8519954,1H+KK,1,0,33 m²,1978,748 €/kk 
Vanhaistentie 8 E,60.244666,24.8826903,3h+k+kph+lp,3,0,"68,5 m²",1960,990 €/kk 
Leanportti 2,60.2023727,24.9238177,3H+K,3,0,74 m²,1983,1 400 €/kk 
Klaavunpolku 2,60.21414859999999,25.0956891,2h + k,2,0,"53,5 m²",2001,1 080 €/kk 
Kellosilta 8b,60.20054099999999,24.937085,1H+KT,1,0,"29,5 m²",2023,878 €/kk 
Saniaistie 7 A,60.25980999999999,25.0293649,2h+k+kph+vh+lasitettu parveke,2,0,47 m²,1974,870 €/kk 
Rusthollarinkuja 2 H,60.2115976,25.0929824,3h+k,3,0,"65,4 m²",1962,1 049 €/kk 
Malagankatu 2,60.1579904,24.9126423,1H+K+KPH,1,0,23 m²,2019,1 150 €/kk 
Madetojankuja 1,60.2433113,24.9918836,1H+KT,1,0,28 m²,2023,775 €/kk 
Pengerkatu 29,60.1871984,24.9601244,1h + avok,1,0,24 m²,1937,1 100 €/kk 
Punakiventie 15,60.213925,25.1439093,4H+KT,4,0,72 m²,2018,1 489 €/kk 
Lontoonkatu 10,60.2032885,24.9745732,4h-5h+k+s+las.parv,4,1,129 m²,2014,2 420 €/kk 
Mäkelänkatu 15 B 13,60.1926449,24.9611403,1 h+kk+kph/wc,1,0,19 m²,1939,650 €/kk 
Vähäntuvantie 4,60.2339876,24.8538784,2k+k,2,0,54 m²,1968,1 290 €/kk 
Tukkutorinkuja 2 C 56,60.19000680000001,24.9760118,3H+KK+S,3,1,"63,5 m²",2023,1 540 €/kk 
Klaavuntie 8-10 K,60.20927969999999,25.0971015,2h+k,2,0,56 m²,1961,859 €/kk 
Malmin kauppatie 6a,60.2490158,25.0051437,2H+KK+S,2,1,"53,5 m²",2001,890 €/kk 
Ansaritie 2-4 B,60.2089507,24.8859766,1h+kt,1,0,29 m²,1960,799 €/kk 
Kiillekuja 3,60.2330923,25.0052284,2H+KK+P,2,0,"57,5 m²",1963,920 €/kk 
Atlantinkatu 12 B,60.1545608,24.9107431,3h+kt,3,0,"68,5 m²",2020,1 699 €/kk 
Agronominraitti 2,60.2339578,25.0354171,2H+KK+S,2,1,"47,5 m²",2005,954 €/kk 
Vuotie 49a A,60.2072362,25.1496668,2h+kt,2,0,39 m²,2023,990 €/kk 
Kalkkihiekantie 10,60.20019310000001,25.141764,2H+KT+S,2,1,47 m²,1995,948 €/kk 
Hilapellontie 4,60.2402738,24.8373125,2H+KK,2,0,"42,5 m²",1970,830 €/kk 
Bertha Pauligin katu 2a B,60.206359,25.150693,3h + kt + s + lasitettu p,3,1,"75,5 m²",2023,1 320 €/kk 
Myllypellontie 1 B,60.2339033,24.9799866,2h+kk+s,2,1,"38,5 m²",1998,838 €/kk 
Postiljooninkatu 4 A,60.2199687,24.9296314,2h+kt+kph+parveke,2,0,"44,5 m²",2021,1 030 €/kk 
Lauttasaarentie 37 A,60.16099359999999,24.8791211,"1h, kk, kph",1,0,21 m²,1961,740 €/kk 
